YEAR;MONTH;WEEK;DAVID MARK, MANAGER;GEM CASA, ENGINEER;LANDO PIASTRI, ENGINEER;RENE MULER, DESIGNER;DAVID COOTHE, DESIGNER;MICHAEL LAUDRUP, TECHNICAL WRITER;NAN SAMAK, SOFTWARE DEV.;DAN SINGH, TECHNICIAN;JESSICA THOMAS, DESIGNER;JAMES FLICK, TECHNICIAN;ZHEN YEN, DEVELOPER;ADE WALE, ENGINEER;EMMA CHOO, PROCUREMENT;NEIL HAGGAI, LOGISTICS;Total
2023;January;1 - 7;0,0;;0,0;20,0;0,0;24,0;16,0;24,0;24,0;24,0;24,0;24,0;;24,0;204,0
2023;January;8-14;10,0;;40,0;20,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;;;390,0
2023;January;15-21;10,0;;40,0;20,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;;;390,0
2023;January;22-28;10,0;;40,0;20,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;0,0;;;350,0
2023;January;29-31;8,0;;16,0;7,0;16,0;16,0;16,0;16,0;16,0;16,0;16,0;16,0;;;159,0
2023;January;Total;38,0;0,0;136,0;87,0;136,0;160,0;152,0;160,0;160,0;160,0;160,0;120,0;0,0;24,0;1493,0
2023;February;1 - 4;2,0;;24,0;13,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;;;231,0
2023;February;5-11;10,0;;40,0;20,0;40,0;40,0;32,0;40,0;40,0;40,0;40,0;16,0;;;358,0
2023;February;12-18;10,0;8,0;40,0;20,0;40,0;32,0;40,0;40,0;40,0;40,0;40,0;0,0;;;350,0
2023;February;19-25;10,0;32,0;32,0;20,0;32,0;0,0;32,0;32,0;8,0;32,0;32,0;32,0;;;294,0
2023;February;26-28;0,0;16,0;16,0;4,0;16,0;16,0;16,0;16,0;0,0;16,0;16,0;16,0;;;148,0
2023;February;Total;32,0;56,0;152,0;77,0;152,0;112,0;144,0;152,0;112,0;152,0;152,0;88,0;0,0;0,0;1381,0
2023;March;1 - 4;5,0;24,0;24,0;16,0;24,0;24,0;24,0;24,0;8,0;24,0;16,0;24,0;;;237,0
2023;March;5-11;3,5;40,0;40,0;22,5;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;;466,0
2023;March;12-18;4,0;40,0;40,0;20,0;40,0;40,0;40,0;0,0;40,0;32,0;40,0;40,0;40,0;;416,0
2023;March;19-25;2,0;40,0;40,0;20,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;;462,0
2023;March;26-31;4,0;40,0;40,0;20,0;40,0;40,0;32,0;0,0;40,0;40,0;40,0;40,0;40,0;;416,0
2023;March;Total;18,5;184,0;184,0;98,5;184,0;184,0;176,0;104,0;168,0;176,0;176,0;184,0;160,0;0,0;1997,0
2023;April;1 - 1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;April;2 - 8;0,0;32,0;32,0;20,0;32,0;32,0;32,0;0,0;32,0;32,0;32,0;32,0;32,0;;340,0
2023;April;9-15;4,0;40,0;40,0;28,0;40,0;40,0;32,0;24,0;32,0;40,0;40,0;40,0;40,0;;440,0
2023;April;16-22;0,0;16,0;40,0;21,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;;437,0
2023;April;23-29;4,0;40,0;40,0;24,0;40,0;40,0;32,0;40,0;40,0;40,0;30,5;40,0;40,0;;450,5
2023;April;30-30;;;;;;;;;;;;;;;0,0
2023;April;Total;8,0;128,0;152,0;93,0;152,0;152,0;136,0;104,0;144,0;152,0;142,5;152,0;152,0;0,0;1667,5
2023;May;1 - 6;0,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;;480,0
2023;May;7-13;3,5;38,0;40,0;32,0;40,0;40,0;32,0;40,0;40,0;40,0;40,0;32,8;40,0;;458,3
2023;May;14-20;0,0;16,0;40,0;40,0;40,0;40,0;40,0;40,0;32,0;40,0;40,0;40,0;32,0;;440,0
2023;May;21-27;5,0;32,0;32,0;32,0;32,0;32,0;32,0;32,0;24,0;32,0;32,0;32,0;32,0;;381,0
2023;May;28-31;0,0;24,0;24,0;8,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;;272,0
2023;May;Total;8,5;150,0;176,0;152,0;176,0;176,0;168,0;176,0;160,0;176,0;176,0;168,8;168,0;0,0;2031,3
2023;Jun;1-3;0,5;16,0;16,0;16,0;16,0;16,0;16,0;16,0;16,0;16,0;16,0;16,0;16,0;;192,5
2023;Jun;4-10;3,5;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;;483,5
2023;Jun;11-17;2,0;40,0;40,0;0,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;;442,0
2023;Jun;18-24;1,0;0,0;40,0;0,0;40,0;40,0;32,0;0,0;20,0;40,0;40,0;40,0;40,0;;333,0
2023;Jun;25-30;1,5;0,0;40,0;0,0;32,0;40,0;40,0;0,0;0,0;40,0;40,0;40,0;40,0;;313,5
2023;Jun;Total;8,5;96,0;176,0;56,0;168,0;176,0;168,0;96,0;116,0;176,0;176,0;176,0;176,0;0,0;1764,5
2023;Jul;1-1;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
2023;Jul;2-8;0,0;0,0;0,0;;32,0;32,0;32,0;0,0;24,0;32,0;32,0;24,0;0,0;;208,0
2023;Jul;9-15;0,0;0,0;0,0;;40,0;40,0;40,0;0,0;40,0;0,0;40,0;40,0;0,0;;240,0
2023;Jul;16-22;0,0;0,0;0,0;;40,0;40,0;0,0;0,0;40,0;24,0;40,0;40,0;0,0;;224,0
2023;Jul;23-29;0,0;0,0;0,0;;36,0;40,0;40,0;0,0;0,0;32,0;0,0;40,0;0,0;;188,0
2023;Jul;30-31;0,0;0,0;0,0;;8,0;8,0;0,0;0,0;0,0;8,0;0,0;8,0;0,0;;32,0
2023;Jul;Total;0,0;0,0;0,0;0,0;156,0;160,0;112,0;0,0;104,0;96,0;112,0;152,0;0,0;0,0;892,0
2023;Aug;1-5;;;;;32,0;32,0;;;;32,0;;32,0;;;128,0
2023;Aug;6-12;;;;;32,0;32,0;;;;0,0;;0,0;;;64,0
2023;Aug;13-19;;;;;40,0;40,0;;;;40,0;;40,0;;;160,0
2023;Aug;20-26;;;;;40,0;40,0;;;;40,0;;40,0;;;160,0
2023;Aug;27-31;;;;;32,0;32,0;;;;24,0;;32,0;;;120,0
