YEAR;MONTH;WEEK;DAVID MARK, MANAGER;GEM CASA, ENGINEER;LANDO PIASTRI, ENGINEER;RENE MULER, DESIGNER;Total
2024;January;1 - 7;;0,0;0,0;16,0;16,0
2024;January;8-14;;40,0;;40,0;80,0
2024;January;15-21;;0,9;;15,0;15,9
2024;January;22-28;;;;21,0;21,0
2024;January;29-31;;;;24,0;24,0
2024;January;Total;0,0;40,9;0,0;116,0;156,9
2024;February;1 - 4;;;0,0;7,0;7,0
2024;February;5-11;;;0,0;30,0;30,0
2024;February;12-18;;;0,0;4,0;4,0
2024;February;19-25;;;16,0;6,0;22,0
2024;February;26-29;;;24,0;6,0;30,0
2024;February;Total;0,0;0,0;40,0;53,0;93,0
2024;March;1 - 3;;;0,0;0,0;0,0
2024;March;4-10;;;0,0;2,0;2,0
2024;March;11-17;;;0,0;0,0;0,0
2024;March;18-24;;;0,0;0,0;0,0
2024;March;25-31;;;0,0;0,0;0,0
2024;March;Total;0,0;0,0;0,0;2,0;2,0
2024;April;1 - 7;;;;1,0;1,0
2024;April;8-14;;;;0,0;0,0
2024;April;15-21;;;;0,0;0,0
2024;April;22-28;;;;0,0;0,0
2024;April;29-30;;;;0,0;0,0
2024;April;;;;;;0,0
2024;April;Total;0,0;0,0;0,0;1,0;1,0
2024;May;1 - 5;;;;;0,0
2024;May;6-12;;;;;0,0
2024;May;13-19;;;;;0,0
2024;May;20-26;;;;;0,0
2024;May;27-31;;;;;0,0
2024;May;Total;0,0;0,0;0,0;0,0;0,0
2024;Jun;1-2;;;;;0,0
2024;Jun;3-9;;;;;0,0
2024;Jun;10-16;;;;;0,0
2024;Jun;17-23;;;;;0,0
2024;Jun;24-30;;1,0;;1,0;2,0
2024;Jun;Total;0,0;1,0;0,0;1,0;2,0
2024;Jul;1 - 7;;1,0;;3,5;4,5
2024;Jul;8-14;;;;2,5;2,5
2024;Jul;15-21;;;;8,0;8,0
2024;Jul;22-28;;;;;0,0
2024;Jul;29-31;;;;;0,0
2024;Jul;Total;0,0;1,0;0,0;14,0;15,0
2024;Aug;1-4;;;;;0,0
2024;Aug;7-11;;;;;0,0
2024;Aug;12-18;;;;;0,0
2024;Aug;19-25;;;;;0,0
2024;Aug;26-31;;;;;0,0
2024;Aug;Total;0,0;0,0;0,0;0,0;0,0
2024;Sep;1;;;;;0,0
2024;Sep;2-8;;;;;0,0
2024;Sep;9-15;;;;;0,0
2024;Sep;16-22;;;;;0,0
2024;Sep;23-29;;;;;0,0
2024;Sep;30;;;;;0,0
2024;Sep;Total;0,0;0,0;0,0;0,0;0,0
2024;Oct;1-6;;;;;0,0
2024;Oct;7-13;;;;;0,0
2024;Oct;14-20;;;;;0,0
2024;Oct;21-27;;;;;0,0
2024;Oct;28-31;;;;;0,0
2024;Oct;Total;0,0;0,0;0,0;0,0;0,0
2024;Nov;1-3;;;;;0,0
2024;Nov;4-10;;;;;0,0
2024;Nov;11-17;;;;;0,0
2024;Nov;18-24;;;;;0,0
2024;Nov;25-30;;;;;0,0
2024;Nov;Total;0,0;0,0;0,0;0,0;0,0
2024;Dec;1;;;;;0,0
2024;Dec;2-8;;;;;0,0
2024;Dec;9-15;;;;;0,0
2024;Dec;16-22;;;;;0,0
2024;Dec;23-29;;;;;0,0
2024;Dec;30-31;;;;;0,0
2024;Dec;Total;0,0;0,0;0,0;0,0;0,0
